mean,median,max,min,membership,cluster
4.833333333333333,5.0,8,2,46,2
5.083333333333333,5.0,7,3,46,2
4.583333333333333,5.0,6,3,46,2
4.833333333333333,4.5,7,2,46,2
3.9166666666666665,4.0,6,1,46,2
3.75,3.5,5,2,46,2
3.9166666666666665,3.5,7,2,46,2
4.5,4.0,9,2,46,2
4.083333333333333,3.5,7,2,46,2
4.666666666666667,4.5,7,3,46,2
4.75,5.0,7,1,46,2
4.5,5.0,6,3,46,2
4.5,5.0,8,2,46,2
4.75,5.0,6,2,46,2
4.833333333333333,5.0,7,2,46,2
4.833333333333333,5.0,7,2,46,2
4.666666666666667,5.0,7,2,46,2
4.916666666666667,4.5,8,1,46,2
4.166666666666667,4.0,7,1,46,2
4.916666666666667,5.0,8,1,46,2
4.75,5.0,6,3,46,2
4.5,4.5,7,2,46,2
4.5,4.5,7,2,46,2
4.916666666666667,5.0,7,3,46,2
4.333333333333333,4.0,7,2,46,2
3.6666666666666665,4.0,6,1,46,2
4.583333333333333,4.5,7,3,46,2
4.75,4.5,8,2,46,2
4.166666666666667,4.0,6,2,46,2
5.083333333333333,5.0,7,3,46,2
5.416666666666667,5.0,8,3,46,2
4.25,4.0,8,1,46,2
4.083333333333333,3.5,7,1,46,2
4.666666666666667,5.0,7,2,46,2
4.666666666666667,5.0,7,2,46,2
4.833333333333333,5.0,6,3,46,2
4.833333333333333,4.5,8,3,46,2
5.583333333333333,5.5,8,3,46,2
4.0,4.0,6,2,46,2
4.833333333333333,5.0,7,3,46,2
5.333333333333333,6.0,8,2,46,2
4.166666666666667,5.0,7,1,46,2
4.25,4.0,6,3,46,2
4.0,4.0,6,2,46,2
5.5,5.0,9,3,46,2
5.5,5.5,9,3,46,2
4.916666666666667,5.0,7,2,46,2
4.583333333333333,4.5,7,3,46,2
4.666666666666667,5.0,8,2,46,2
4.666666666666667,4.5,8,3,46,2
4.416666666666667,4.5,6,2,46,2
4.333333333333333,4.0,6,2,46,2
4.916666666666667,5.0,8,2,46,2
4.5,4.0,8,2,46,2
4.833333333333333,5.0,8,1,46,2
5.333333333333333,5.0,8,3,46,2
4.416666666666667,4.5,6,3,46,2
4.5,5.0,6,1,46,2
4.75,5.0,6,1,46,2
4.166666666666667,3.5,7,2,46,2
4.333333333333333,4.0,7,2,46,2
4.333333333333333,4.0,8,2,46,2
3.4166666666666665,4.0,7,1,45,2
3.4166666666666665,3.0,7,1,45,2
4.666666666666667,5.0,8,3,45,2
4.666666666666667,5.0,7,2,45,2
4.5,4.5,7,2,45,2
4.666666666666667,4.5,7,3,45,2
4.75,5.0,7,2,45,2
4.916666666666667,5.0,7,2,45,2
3.8333333333333335,3.5,6,1,45,2
4.833333333333333,4.5,8,2,45,2
4.666666666666667,4.5,7,2,45,2
4.25,4.0,7,1,45,2
4.25,4.0,7,2,45,2
4.0,3.0,8,2,45,2
4.75,4.5,9,2,45,2
3.8333333333333335,4.0,6,2,45,2
5.083333333333333,5.0,8,4,45,2
4.333333333333333,4.0,8,2,45,2
3.1666666666666665,3.5,5,1,45,2
5.666666666666667,5.5,7,5,45,2
4.75,5.0,7,2,45,2
4.333333333333333,4.5,7,1,45,2
4.5,4.5,7,2,45,2
4.916666666666667,5.0,7,3,45,2
4.5,5.0,6,3,45,2
4.916666666666667,5.0,7,3,45,2
4.583333333333333,5.0,6,1,45,2
4.5,5.0,8,1,45,2
4.333333333333333,4.5,6,2,45,2
4.083333333333333,3.5,8,2,45,2
3.75,4.0,5,1,45,2
3.5,3.5,5,2,45,2
3.9166666666666665,4.0,6,2,45,2
5.083333333333333,4.0,9,3,45,2
4.166666666666667,4.0,7,1,45,2
4.416666666666667,4.0,7,3,45,2
4.666666666666667,5.0,8,1,45,2
4.583333333333333,5.0,8,1,45,2
4.416666666666667,4.5,7,1,45,2
5.166666666666667,5.0,8,3,45,2
4.583333333333333,4.5,7,3,45,2
4.083333333333333,4.0,7,3,45,2
5.25,5.0,9,3,45,2
